Data as of,Start Date,End Date,Year,Month,Group,State,Indicator,Non-Hispanic White,Non-Hispanic Black or African American,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Non Hispanic more than one race,Hispanic or Latino,Footnote
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,United States,Weighted distribution of population (%),38.8,13.2,0.4,9.4,0.2,2.2,35.8,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Count of COVID-19 deaths,17567,2766,417,523,51,82,3398,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Distribution of COVID-19 deaths (%),70.7,11.1,1.7,2.1,0.2,0.3,13.7,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,United States,Weighted distribution of population (%),43.3,13.8,0.4,8.5,0.2,2.2,31.7,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Count of COVID-19 deaths,39038,4933,794,1069,82,142,6955,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Distribution of COVID-19 deaths (%),73.6,9.3,1.5,2,0.2,0.3,13.1,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,United States,Weighted distribution of population (%),45.8,14.2,0.5,7.9,0.2,2.1,29.4,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Count of COVID-19 deaths,67808,9819,1232,3336,176,322,14898,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Distribution of COVID-19 deaths (%),69.4,10,1.3,3.4,0.2,0.3,15.2,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,United States,Weighted distribution of population (%),40.5,11.6,0.4,10.3,0.2,2.2,34.9,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Count of COVID-19 deaths,65224,11610,1154,4743,191,411,19817,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Distribution of COVID-19 deaths (%),63.1,11.2,1.1,4.6,0.2,0.4,19.2,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,United States,Weighted distribution of population (%),37,10.7,0.4,11.2,0.2,2.2,38.4,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Count of COVID-19 deaths,27172,6216,476,2190,91,164,9931,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Distribution of COVID-19 deaths (%),58.6,13.4,1,4.7,0.2,0.4,21.4,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,United States,Weighted distribution of population (%),37.4,11.7,0.4,10.7,0.2,2.1,37.5,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Count of COVID-19 deaths,13097,3508,168,1047,38,76,4418,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Distribution of COVID-19 deaths (%),58.5,15.7,0.8,4.7,0.2,0.3,19.7,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,United States,Weighted distribution of population (%),39.1,14.1,0.3,9.7,0.2,2,34.5,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,United States,Count of COVID-19 deaths,10674,3279,109,670,36,66,2828,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,United States,Distribution of COVID-19 deaths (%),60.3,18.5,0.6,3.8,0.2,0.4,16,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,United States,Weighted distribution of population (%),43.4,17.1,0.3,8.6,0.1,2,28.5,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,United States,Count of COVID-19 deaths,5620,1518,71,303,15,43,1297,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,United States,Distribution of COVID-19 deaths (%),63.3,17.1,0.8,3.4,0.2,0.5,14.6,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,United States,Unweighted distribution of population (%),60.1,12.5,0.7,5.8,0.2,2.2,18.5,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,United States,Weighted distribution of population (%),45.5,17.2,0.4,7.8,0.1,2,27,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alabama,Count of COVID-19 deaths,7298,3167,17,48,,,191,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alabama,Distribution of COVID-19 deaths (%),68,29.5,0.2,0.4,,,1.8,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alabama,Weighted distribution of population (%),55.4,36.6,0.4,1.9,0,1.5,4.1,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Count of COVID-19 deaths,4465,2037,10,29,,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Distribution of COVID-19 deaths (%),66.8,30.5,0.1,0.4,,,2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alabama,Weighted distribution of population (%),55.5,36.5,0.4,1.9,0,1.5,4.1,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Alabama,Count of COVID-19 deaths,2833,1130,,19,0,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Alabama,Distribution of COVID-19 deaths (%),69.9,27.9,,0.5,0,,1.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Alabama,Weighted distribution of population (%),55.2,36.8,0.4,1.9,0,1.5,4.2,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Count of COVID-19 deaths,0,,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Distribution of COVID-19 deaths (%),0,,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,01/01/2020,01/31/2020,2020,1,By Month,Alabama,Weighted distribution of population (%),75.8,13.6,0.6,1.6,0.1,2.1,6.2,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Count of COVID-19 deaths,,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Distribution of COVID-19 deaths (%),,0,0,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,02/01/2020,02/29/2020,2020,2,By Month,Alabama,Weighted distribution of population (%),49.5,43.1,0.2,1.8,0,1.2,4.1,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Count of COVID-19 deaths,26,18,0,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Distribution of COVID-19 deaths (%),54.2,37.5,0,,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,03/01/2020,03/31/2020,2020,3,By Month,Alabama,Weighted distribution of population (%),55.7,36.4,0.4,2.1,0,1.4,4,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Count of COVID-19 deaths,171,159,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Distribution of COVID-19 deaths (%),50.4,46.9,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,04/01/2020,04/30/2020,2020,4,By Month,Alabama,Weighted distribution of population (%),54.6,37.6,0.4,2,0,1.4,3.8,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Count of COVID-19 deaths,197,216,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Distribution of COVID-19 deaths (%),46,50.5,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,05/01/2020,05/31/2020,2020,5,By Month,Alabama,Weighted distribution of population (%),51.7,40.7,0.4,2,0,1.4,3.7,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Count of COVID-19 deaths,188,186,0,0,0,0,24,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Distribution of COVID-19 deaths (%),47.1,46.6,0,0,0,0,6,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,06/01/2020,06/30/2020,2020,6,By Month,Alabama,Weighted distribution of population (%),50.6,41.7,0.3,2.1,0,1.3,3.9,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Count of COVID-19 deaths,551,295,,,0,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Distribution of COVID-19 deaths (%),63,33.8,,,0,0,2.7,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,07/01/2020,07/31/2020,2020,7,By Month,Alabama,Weighted distribution of population (%),56.1,35.9,0.4,1.9,0,1.5,4.2,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Count of COVID-19 deaths,623,306,,,0,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Distribution of COVID-19 deaths (%),64.7,31.8,,,0,,2.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,08/01/2020,08/31/2020,2020,8,By Month,Alabama,Weighted distribution of population (%),57,35.1,0.4,1.8,0,1.5,4.1,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Count of COVID-19 deaths,389,164,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Distribution of COVID-19 deaths (%),68.7,29,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,09/01/2020,09/30/2020,2020,9,By Month,Alabama,Weighted distribution of population (%),56.3,35.9,0.4,1.8,0,1.5,4.1,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Count of COVID-19 deaths,422,129,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Distribution of COVID-19 deaths (%),75.8,23.2,0,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,10/01/2020,10/31/2020,2020,10,By Month,Alabama,Weighted distribution of population (%),57,35,0.4,1.8,0,1.5,4.2,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Count of COVID-19 deaths,564,180,,,0,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Distribution of COVID-19 deaths (%),73.5,23.5,,,0,0,2,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,11/01/2020,11/30/2020,2020,11,By Month,Alabama,Weighted distribution of population (%),55.9,36,0.4,1.9,0,1.5,4.3,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Count of COVID-19 deaths,1333,383,,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Distribution of COVID-19 deaths (%),76.5,22,,,,0,1,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,12/01/2020,12/31/2020,2020,12,By Month,Alabama,Weighted distribution of population (%),55.9,36.1,0.4,1.8,0,1.5,4.3,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Count of COVID-19 deaths,1713,614,,11,0,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Distribution of COVID-19 deaths (%),72,25.8,,0.5,0,,1.3,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,01/01/2021,01/31/2021,2021,1,By Month,Alabama,Weighted distribution of population (%),55.6,36.5,0.4,1.9,0,1.5,4.2,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Count of COVID-19 deaths,646,287,,,0,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Distribution of COVID-19 deaths (%),67.5,30,,,0,,1.7,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,02/01/2021,02/28/2021,2021,2,By Month,Alabama,Weighted distribution of population (%),55.3,36.6,0.4,2,0,1.5,4.1,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Count of COVID-19 deaths,251,117,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Distribution of COVID-19 deaths (%),66.4,31,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,03/01/2021,03/31/2021,2021,3,By Month,Alabama,Weighted distribution of population (%),54.3,37.8,0.4,2,0,1.5,4,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Alabama,Count of COVID-19 deaths,128,76,0,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Alabama,Distribution of COVID-19 deaths (%),61.5,36.5,0,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,04/01/2021,04/30/2021,2021,4,By Month,Alabama,Weighted distribution of population (%),53.1,39,0.3,2,0,1.4,4.2,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Alabama,Count of COVID-19 deaths,95,36,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Alabama,Distribution of COVID-19 deaths (%),71.4,27.1,0,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Alabama,Unweighted distribution of population (%),65.3,26.5,0.6,1.5,0.1,1.6,4.6,
06/02/2021,05/01/2021,05/29/2021,2021,5,By Month,Alabama,Weighted distribution of population (%),55.2,36.7,0.4,1.9,0,1.5,4.3,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alaska,Count of COVID-19 deaths,135,,114,34,20,10,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alaska,Distribution of COVID-19 deaths (%),39.9,,33.7,10.1,5.9,3,4.4,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3,
06/02/2021,01/01/2020,05/29/2021,2020/2021,,By Total,Alaska,Weighted distribution of population (%),59.5,4.9,8.5,8.6,2.3,7.3,8.9,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Count of COVID-19 deaths,94,,89,28,15,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Distribution of COVID-19 deaths (%),37.3,,35.3,11.1,6,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Unweighted distribution of population (%),60.8,3.3,13.9,6.4,1.4,6.8,7.3,
06/02/2021,01/01/2020,12/31/2020,2020,,By Year,Alaska,Weighted distribution of population (%),59,5,8.4,8.9,2.4,7.3,9,
06/02/2021,01/01/2021,05/29/2021,2021,,By Year,Alaska,Count of COVID-19 deaths,41,,25,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
